resource_name,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,rank,optimization_rate
JADE_SLR_ESR1,JADE_SLR_ALL,78.1,QIPLUM,Intersect Power,80.4,Jade Storage SLF 1,80.4,1.99,516612.9814166666,319183.6466384917,0.0,13899.137120919895,8120.14640649812,47065.605953296705,16928.71377284763,90997.34317080531,1012807.5744795259,64,116.21677187388552
TSECA_ES_ESR1,TSECA_ES_RN,100.0,QTEN36,YTIERS,,,100.0,2.4,0.0,952451.9417451831,0.0,1122.3933144075522,5255.969832060883,8018.039588931679,3591.8267201718536,11171.020098036199,981611.1912987917,65,47.33941487225521
LUCKYBLU_ESR1,LUCKYBLU_RN,100.0,QBROOK,YLUCKB,,,100.0,2.14,665784.0685,264657.6918376583,0.0,9968.081687232045,3699.284135761228,0.0,3393.029398180998,15617.930189740826,963120.0857485735,66,74.96885465781243
CROSSTRL_ESR1,CROSSTRL_RN,57.0,QGRIE4,Energy Vault,58.0,Cross Trails Storage,58.0,1.97,1254441.525,-576067.173600925,0.0,68321.12829383907,2.698944216166859e-05,135618.78046732928,37733.306777535036,36978.528052195674,957026.0950169634,67,68.81702369242704
LBRA_ESS_ESR1,LBRA_BES1,200.0,QSUE48,ENGIE,200.0,Libra BESS,200.0,1.0,-146741.72883333336,205633.91983865004,0.0,155229.3200962115,20000.238618200827,412519.64249422523,238288.53916600504,0.0,884929.9313799591,68,60.07281807664262
SHEEPCRK_ESR1,SHEEPCRK_1,135.0,QSUE70,ENGIE,142.0,Sheep Creek Storage,142.0,1.29,66599.02458333335,244150.87811695837,0.0,86404.62643222662,49134.65922077462,232528.04707540383,143502.8183972739,61694.85466670098,884014.9084926716,69,77.45189502515031
MUSTNGCK_ESR1,MUSTNGCK_ALL,71.0,QENE10,Enel North America,69.3,Mustang Creek Storage,69.3,1.18,438927.38175,142738.22407086665,0.0,6602.148549751941,4919.1376223275975,99948.42545289952,28397.122140765645,128682.4223220307,850214.861908642,70,115.48431574948506
ENDPARKS_ESR1,ENDPARK_ESS1,50.0,QGRIE4,Key Capture Energy,50.0,Endurance Park,50.0,1.98,606621.5259166667,-109500.87521249997,0.0,97976.74777524866,72898.81995129219,6663.496026197125,82827.66316202508,40500.28474604604,797987.6623649758,71,89.40155031056912
CTW_ESR1,CTW_RN,150.0,QTOTL5,YTOTAL,,,150.0,1.53,0.0,764622.3823962666,0.0,839.8406498402207,2398.3655335226026,558.080771411657,1202.9930043580682,3585.0383085932626,773206.7006639924,72,35.93468024974827
HLY_ESR1,HLY_RN,102.0,QHEI1,UBS Asset Management,104.7,Holy ESS U1,104.7,0.98,385099.1346666667,68516.63776083333,0.0,713.811569575813,900.429124404201,182129.76500004448,57733.03196084911,67086.46220303453,762179.2722854081,73,111.65182012092454
RADN_SLR_ESR2,RADN_SLR_ALL,81.9,QIPRAD,YIPRAD,,,81.9,2.0,0.0,761886.677195775,0.0,0.0,0.0,0.0,0.0,0.0,761886.677195775,74,79.175544995154
HLY_ESR2,HLY_RN,101.8,QHEI1,UBS Asset Management,104.7,Holy ESS U1,104.7,0.98,385485.9475,62018.4026975,0.0,673.9874860206684,1423.1789318650222,182238.9870803472,57148.24132267777,67100.23068452202,756088.9757029327,75,110.88362981704152
RADN_SLR_ESR1,RADN_SLR_ALL,78.1,QIPRAD,YIPRAD,,,78.1,1.96,0.0,738473.7702270166,0.0,0.0,0.0,0.0,0.0,0.0,738473.7702270166,76,73.27148471144206
HEADCAMP_ESR1,HEADCAMP_RN,150.0,QTEN34,YMOMEH,,,150.0,1.06,0.0,738258.7725665667,0.0,0.0,0.0,0.0,0.0,0.0,738258.7725665667,77,46.266472663267216
CROSSETT_ESR1,CROSSETT_ALL,100.0,QJPEM1,Jupiter Power,101.5,Crossett Power 1,101.5,0.99,0.0,605022.4159259333,0.0,4269.5009290018625,6575.892049491027,65781.26133597769,15236.368376010363,35086.79400695298,731972.2326233672,78,46.609868611939135
HOUSEMTN_ESR1,HOUSEMTN_RN,60.0,QJPEM,Jupiter Power,60.0,House Mountain BESS,60.0,2.24,0.0,593648.3137540832,0.0,4326.388812556078,12185.657015853827,33554.51054081814,34891.77622949255,48358.9491199914,726965.5954727954,79,55.177707091721054
TANZ_ESS_ESR1,TANZ_ESS_RN,128.8,QSUE99,ENGIE,132.9,Tanzanite Storage U1,132.9,1.93,381660.2129166667,-152985.77191931664,0.0,36927.57387444511,14499.60299759668,159513.3934671377,140147.04463854156,144634.6184841509,724396.674459222,80,-6.2804253243824935
ANG_SLR_ESR1,ANG_ALL,0.0,QTEN26,Apex Clean Energy,103.0,Angelo Storage,103.0,1.94,0.0,604439.7657983833,0.0,0.0004471756911097,0.000163659458146,19494.196475451998,11654.913237016193,87326.78706820072,722915.6631898874,81,63.2096209162072
CROSSETT_ESR2,CROSSETT_ALL,100.0,QJPEM1,Jupiter Power,101.5,Crossett Power 1,101.5,0.99,0.0,572443.6349287499,0.0,4228.77796558733,6375.676728221178,65961.03227639027,15414.587560774014,34701.60137145923,699125.3108311819,82,42.83544557301672
SEVNF_ES_ESR1,SEVNF_ES_RN,100.0,QTEN37,YSEVFL,,,100.0,2.34,0.0,637593.8323530667,0.0,4203.345269556758,8688.315448940846,9108.75370069402,4253.071581719168,28891.194120316963,692738.5124742944,83,54.54004123836774
TANZ_ESS_ESR2,TANZ_ESS_RN,128.8,QSUE99,ENGIE,132.9,Tanzanite Storage U1,132.9,1.93,192275.92525000003,-9530.71079483333,0.0,36061.927934715975,15934.258324387944,161648.81492261478,137407.37304727573,143560.3093996942,677357.8980838553,84,-2.8885069374562744
BEXAR_ES_ESR1,BEXAR_ES_RN,100.0,QTEN32,YBEXES,,,100.0,0.88,770407.0445833332,-121508.63750661665,0.0,0.0,0.0,0.0,2674.807883030079,24854.604951708658,676427.8199114554,85,224.22242189723292
STAM_SLR_ESR1,STAM_SLR_ALL,70.0,QENE12,Enel North America,71.5,Stampede BESS,71.5,1.57,334140.7621666666,105328.08436567501,0.0,640.7350906924423,413.0803107182817,92697.8237568149,36245.05321872294,103707.98030224392,673173.5192115342,86,83.74075153080408
FENCESLR_ESR1,FENCESLR_ALL,71.0,QENE13,ENGIE,86.6,Fence Post BESS,86.6,1.43,310456.64708333334,92281.81486245833,0.0,3472.8396537631425,3531.2449645237275,119097.62121941731,21956.36930869819,103722.99326371038,654519.5303559044,87,78.1913727349289
PAVO_ESS_ESR2,PAVO_ESS_ALL,87.5,QSUE74,ENGIE,86.5,Pavo BESS 1,86.5,1.01,231755.66725,28162.96465300833,0.0,63752.40207803202,17311.86998897215,200784.6633128569,68456.69273026942,28979.185718924415,639203.4457320631,88,65.81258545516924
RBN_ESR1,RBN_BESS1,100.0,QTEN19,Cypress Creek Renewables,101.6,River Bend,101.6,1.48,141318.6634166667,12572.210325183332,0.0,20461.16894497316,8940.619048763878,274770.3032237329,84230.80001694911,50599.37273213422,592893.1377084034,89,74.83806887734696
DGFS_ESR_ESR1,DGFS_ESR_RN,75.0,QTEN26,Gore Street Energy Storage Fund,75.0,Dogfish BESS,75.0,1.22,120495.87533333333,304102.25993888336,0.0,1191.4439323603206,18843.328527457998,109302.07771643983,20915.86591494164,15143.070281929617,589993.9216453461,90,53.69321007675676
BCNV_ESS_ESR1,BCNV_RN,150.0,QSHE11,Nightpeak Energy,150.0,Bocanova BESS,150.0,2.0,522008.5384166667,-68032.62735773333,0.0,0.0,0.013,15418.86699444166,11659.384390971749,107981.24887613664,589035.4243204833,91,0.0
RVRVLYS_ESR1,RVRVLYS_ALL,50.0,QSHEL2,Key Capture Energy,50.0,River Valley 1,50.0,1.99,46577.68541666667,460406.221569,0.0,14687.626222013952,10488.642987165917,3613.1706027429163,3124.307085365204,23910.841322522756,562808.4952054773,92,80.53305680889642
GKS_BESS_ESR1,GKS_BESS_RN,0.0,QTEN26,SA Grid Solutions,103.0,Great Kiskadee Storage,103.0,1.94,1056.5,315877.93272034166,0.0,0.0004471895799986,0.000163659458146,76923.58798639294,19218.675177703608,146953.38497869927,560030.0814739865,93,52.91161204281211
