DATETIME,ERCOT (LOAD_FORECAST),ERCOT (NET_LOAD_FORECAST_BID_CLOSE),ERCOT (WIND_STWPF_BIDCLOSE),ERCOT (WIND_COPHSL_BIDCLOSE),ERCOT (SOLAR_COPHSL_BIDCLOSE),ERCOT (RTLOAD),ERCOT (WIND_RTI),ERCOT (SOLAR_GENERATION),HOURENDING,MARKETDAY,PEAKTYPE,MONTH,YEAR 
02/13/2026 16:00:00,53303.750488,22416.48,16917,16438.5,14059,53150.74,18903.49,,16,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 17:00:00,53365.520386,25122.6097,18506.3,17788.3,10096,52991.45,20414.68,,17,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 18:00:00,52576.719849,30939.0391,19364.4,18603.9,3339.5,52438.26,20846.6,,18,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 19:00:00,52447.869873,33483.4006,19781,19073.8,128.4,52369.37,21516.64,,19,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 20:00:00,51417.279785,32201.2406,20607,19899,0,51874.63,23482.22,,20,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 21:00:00,50835.300781,29991.0003,21652.1,20996.7,0,51184.23,25180.28,,21,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 22:00:00,49825.950562,28963.2174,21028.6,20464.4,0,50205.93,21639.47,,22,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 23:00:00,48439.670654,27589.5162,20672.7,20169.5,0,48571.77,17579.75,,23,02/13/2026,OFFPEAK,FEBRUARY,2026
02/14/2026 00:00:00,46346.180054,25065.6539,21321.6,20785.2,0,46587.95,14919.95,,24,02/13/2026,OFFPEAK,FEBRUARY,2026
02/14/2026 01:00:00,44248.019653,23025.2253,21132.5,20753.5,0,44973.64,13676.77,,1,02/14/2026,OFFPEAK,FEBRUARY,2026
02/14/2026 02:00:00,43269.850037,21796.5302,20678.5,20317.4,0,43913.34,13665.51,,2,02/14/2026,OFFPEAK,FEBRUARY,2026
02/14/2026 03:00:00,42684.000122,21331.6533,20108.7,19773.2,0,42798.45,13554.85,,3,02/14/2026,OFFPEAK,FEBRUARY,2026
02/14/2026 04:00:00,41812.829651,21122.8796,19629.6,19317.6,0,42149.95,14450.51,,4,02/14/2026,OFFPEAK,FEBRUARY,2026
02/14/2026 05:00:00,41988.4198,21841.7589,18931.6,18682.1,0,42002.42,13999.21,,5,02/14/2026,OFFPEAK,FEBRUARY,2026
02/14/2026 06:00:00,42391.630188,24044.1821,17901.8,17671.2,0,42330.97,13481.18,,6,02/14/2026,OFFPEAK,FEBRUARY,2026
02/14/2026 07:00:00,43423.540405,26107.7394,16989.8,16765.3,0,43191.37,13702.46,,7,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 08:00:00,44425.619751,27842.3819,16217.8,15946.8,438.6,44339.29,14119.05,,8,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 09:00:00,45924.3797,26502.7197,15554.1,15293.6,4118.8,45958.39,14857.37,,9,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 10:00:00,47803.259399,23738.4195,15394.4,15089.1,8850.4,47818.71,14834.16,,10,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 11:00:00,49216.199463,21910.3294,16092.3,15737.8,11092.6,49007.34,15832.75,,11,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 12:00:00,49782.879761,19654.6796,17272.5,16840.4,12515.2,50092.92,17143.53,,12,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 13:00:00,50436.450195,17985.4595,17885.2,17362.6,13655.6,50656.42,18264.9,,13,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 14:00:00,50502.620239,17631.0698,18333,17873.5,13293.4,50231.44,18708.82,,14,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 15:00:00,50042.230591,18152.37,18923.7,18476.5,12293.8,49819.05,18626.55,,15,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 16:00:00,49445.969849,19233.9606,19524.8,19090.4,11214.4,49571.18,18990.97,,16,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 17:00:00,49330.440186,20750.9493,19828.4,19389.3,9409,49415.12,20175.4,,17,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 18:00:00,49820.680054,25877.6879,19834.5,19361.2,4011.4,49598.39,21432.6,,18,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 19:00:00,49892.649414,29526.0409,20136.1,19714.7,229.7,49952.31,23255.59,,19,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 20:00:00,49428.919556,27981.3234,21404.3,21044.1,0,49274.24,23295.72,,20,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 21:00:00,48386.799438,25148.8084,23336.3,22939.8,0,48637.35,23345.98,,21,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 22:00:00,47439.449951,22989.8497,24317.3,23927.4,0,47636.98,22199.16,,22,02/14/2026,WEPEAK,FEBRUARY,2026
02/14/2026 23:00:00,46295.249512,21844.1536,24062,23617,0,46465.35,22232.47,,23,02/14/2026,OFFPEAK,FEBRUARY,2026
02/15/2026 00:00:00,44668.279907,20951.3492,23254.2,22873.1,0,44986.65,22138.98,,24,02/14/2026,OFFPEAK,FEBRUARY,2026
02/15/2026 01:00:00,43810.009033,21845.3801,21856,21345.1,0,43621,21820.36,,1,02/15/2026,OFFPEAK,FEBRUARY,2026
