node,net_revenue,offer_revenue,bid_revenue,days_active,total_offer_mw,total_bid_mw,hsl,rank
ENDPARK_ESS1,-3751.6480000000006,-2279.9714999999997,-1471.6764999999996,183.0,2709.8,-2130.1,50.0,201
N_MRD_ESR_RN,-3848.415200000001,-4393.6015,545.1862999999998,184.0,3477.1000000000004,-2969.9,9.9,202
MESQUITE_RN2,-4022.895,-3329.7799999999997,-693.1150000000001,120.0,1890.6999999999998,-855.6,0.0,203
CS_RN,-4145.552749999999,-3458.868000000004,-686.6847499999997,181.0,1313.3000000000002,-2767.3,9.9,204
HWY6_RN,-4217.0549999999985,-4647.4400000000005,430.38500000000005,123.0,3271.0,-523.0,0.0,205
BRP_LOP1_RN,-4434.619,-4018.107,-416.5119999999997,180.0,5480.9,-6257.2,10.0,206
SANDLAKE_RN,-4474.7632,-566.256,-3908.5072,117.0,646.9,-1566.3,9.9,207
LFSTH_RN,-4686.078500000001,-4114.514,-571.5644999999998,111.0,371.2,-1123.5,9.9,208
CNLY_ESS_RN,-4710.139249999998,-13646.201500000001,8936.06225,182.0,9274.1,-2293.8,125.0,209
BSS_U1,-4732.662500000001,-412.5660000000006,-4320.096499999999,167.0,2862.4,-2902.0,9.9,210
L_FRE_ESR_RN,-4801.01925,-4283.816,-517.2032499999999,183.0,1146.8000000000002,-836.5,9.9,211
PAVO_ESS_ALL,-4829.99475,-4575.6835,-254.31124999999992,176.0,1785.9,-1533.4,87.5,212
HAMI_BESS_RN,-4979.1052500000005,3554.6090000000004,-8533.71425,181.0,1006.9,-6989.799999999999,9.9,213
SNY_BESS_RN,-5340.33825,-1671.6012499999997,-3668.737,184.0,3955.0,-4978.5,9.9,214
CR_RN,-5401.5275,-1827.62975,-3573.89775,105.0,515.7,-779.8,9.8,215
WZRD_ESS_RN,-5492.405750000002,-4355.768250000001,-1136.6375,114.0,224.9,-324.2,150.0,216
GREGORY_RN,-5497.300000000003,-6194.671000000001,697.3710000000003,183.0,17198.1,-5879.2,7.0,217
ELSA_ESR_RN,-5555.0053,-1649.0964999999997,-3905.9088,181.0,2263.6,-2237.1,9.9,218
GOODWIN_ESR,-5566.132750000001,-3319.9665000000014,-2246.16625,180.0,13238.4,-1689.4,9.9,219
TOYAH_RN,-5634.4842499999995,-1337.2995,-4297.18475,177.0,196.1,-7128.7,6.6,220
JAG_SLR_RN,-5970.931999999998,8958.018500000002,-14928.950499999999,183.0,9288.9,-7806.8,150.0,221
HYDR_ESS_RN,-6182.396050000001,550.0509999999998,-6732.447050000002,181.0,696.0,-4747.0,200.0,222
BRP_PBL1_RN,-6236.714750000001,-7488.308000000001,1251.5932499999992,179.0,3640.6000000000004,-10552.2,10.0,223
MAINLAND_RN,-6865.01761,-7549.111649999999,684.0940400000001,114.0,949.9,-785.8,9.9,224
MDWPK_RN,-6895.196,-8657.38775,1762.1917500000002,126.0,870.9,-2215.6,9.9,225
CHIL_SLR,-6936.310050000001,2951.1887000000024,-9887.49875,183.0,16731.4,-3082.0,150.0,226
GRDNE_ESR_RN,-6940.6990000000005,-3409.5615000000003,-3531.1375,183.0,2478.0,-2012.0,9.9,227
DSWL_BES1,-7033.940000000002,-2006.0087500000004,-5027.93125,156.0,1377.0,-2906.0,150.0,228
BR_ARROW_ALL,-7291.9509499999995,-7322.769200000001,30.818249999999978,183.0,5713.2,-2735.1,51.7,229
TSECA_ES_RN,-7392.824750000001,-6164.48475,-1228.3400000000001,164.0,1098.0,-535.9,100.0,230
FTDUNCAN_RN,-7568.491000000002,-5421.177250000002,-2147.31375,173.0,436.2,-3899.6,100.0,231
AE_RN,-7915.449750000001,-6770.7925000000005,-1144.6572500000007,178.0,4583.1,-2988.6,9.9,232
