node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw,rank
CARA_ESS_RN,-1722.0825,-108.891,-1613.1915,107,98.3,17.833644859813084,15.958504672897195,85.9,-111.3,148
NEDIN_RN,-1756.0735,-1368.83125,-387.2422500000001,133,0.0,18.76691729323308,9.595263157894736,525.0,-2005.1,149
MIDP_SLR_RN,-1821.2370400000007,-1220.9905400000005,-600.2464999999997,197,50.9,37.39644670050762,16.631573604060915,4502.9,-1382.3,150
ELZA_SLR_RN,-2006.9861999999998,-2589.7622500000007,582.7760500000004,195,100.0,36.013333333333335,11.317282051282051,1757.4,-1402.6,151
PEARSALL_RN,-2085.0871999999995,-2131.64495,46.55775000000017,162,9.0,30.175308641975306,16.66685185185185,1602.0,-661.7,152
GOMZ_RN,-2157.43361,-855.35536,-1302.0782500000003,190,9.9,33.224210526315794,15.544263157894736,347.9,-1343.6000000000001,153
RIOG_ESR2_RN,-2171.89718,1456.1078200000004,-3628.005,187,7.0,33.47754010695187,9.71716577540107,994.1,-4240.7,154
WR_RN,-2243.75159,-929.6630899999999,-1314.0885,115,9.8,38.17565217391304,21.859304347826086,453.40000000000003,-200.6,155
SBEAN_BESS,-2356.69183,-671.12733,-1685.5645000000002,176,6.6,29.22670454545454,20.18159090909091,140.1,-813.1,156
BAYC_BESS_RN,-2510.35559,-967.1728400000003,-1543.1827500000002,191,8.0,24.14973821989529,9.87151832460733,6440.2,-511.8,157
ABINDUST_RN,-2538.4950000000003,742.9627499999999,-3281.4577499999996,158,9.9,32.55379746835443,13.23158227848101,704.3000000000001,-3403.1,158
PAULN_RN,-2643.3142499999994,-2456.0460000000003,-187.26824999999954,198,9.9,36.612626262626264,16.282979797979795,1060.1,-1525.3,159
CHISMGRD_RN,-2669.1115000000004,-67.21275,-2601.8987500000003,35,0.0,64.14285714285714,30.290571428571425,48.3,-905.2,160
LANTANA_RN,-2740.82708,-561.0828300000001,-2179.74425,162,9.9,30.03456790123457,16.70462962962963,286.8,-1357.9,161
CITRUSCY_RN,-2830.96143,-1378.5456800000002,-1452.41575,187,9.9,33.56363636363636,8.233101604278074,919.9,-610.1,162
BRPANGLE_RN,-3026.97916,-268.6029099999999,-2758.3762500000003,180,9.9,36.76888888888889,17.461444444444446,2800.6,-1559.3,163
PLATINUM_RN,-3041.864000000001,467.64399999999983,-3509.5080000000003,149,151.7,33.2496644295302,17.267986577181208,613.0,-1159.8,164
VERT_ESS_RN,-3052.8515,-3937.3125,884.4610000000001,48,200.0,51.91041666666666,56.57666666666666,53.9,-91.3,165
PIN_BESS_RN,-3082.6088000000004,-733.116,-2349.4928,139,0.0,31.85251798561151,8.411007194244604,1974.8,-11281.800000000001,166
HEARN_RD_RN,-3088.759159999999,-1352.3984100000016,-1736.3607499999998,194,0.0,36.74742268041237,59.687061855670095,19778.1,-1599.2,167
MESQUITE_RN,-3128.0694999999996,-2692.238,-435.8314999999996,155,0.0,30.536774193548386,13.604064516129032,3224.3,-6746.6,168
BLACKSPR_RN,-3234.272000000001,-2924.762,-309.51,163,120.0,34.411656441717795,25.276134969325156,2093.3,-3818.1,169
CARN_ESS_RN,-3269.66491,2400.4190900000003,-5670.084,197,150.0,37.09086294416243,10.895634517766497,3433.3,-6415.2,170
JAR_RN,-3282.9750000000013,2837.1714999999995,-6120.1465,197,152.0,34.35989847715736,15.85497461928934,1308.2,-4229.4,171
ENDPARK_ESS1,-3433.7677499999995,-1562.2874999999997,-1871.4802499999998,199,50.0,34.95628140703518,10.052261306532662,3131.8,-2262.8,172
