rank,node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw
100,FRMRSVLW_RN,52.80225000000007,-862.3105,915.1127499999999,196,9.9,46.096754385964914,16.25906140350877,621.1,-785.4
101,APPLE_RN,28.109999999999985,0.0,28.109999999999985,15,0.0,42.22,33.54066666666667,0.0,-60.0
102,DRAK_ESS_RN,0.0,0.0,0.0,39,150.0,0.0,0.0,0.0,0.0
103,RN_PAD3_ESS,0.0,0.0,0.0,122,0.0,0.0,0.0,0.0,0.0
104,MEDINA1_RN,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0
105,BIRD_ESR1,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0
106,HNY_COMB_RN,0.0,0.0,0.0,98,61.5,0.0,0.0,0.0,0.0
107,LEAKEY_RN,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0
108,FALFUR_RN2,-31.066749999999953,283.9310000000001,-314.99775,108,9.8,25.50145631067961,24.777126213592233,773.5,-65.8
109,ELM_ST_RN2,-38.330999999999996,-15.513499999999992,-22.817500000000003,106,9.9,10.833333333333334,10.83225,15.9,-7.0
110,BCNV2_ES_RN,-53.264999999999986,-53.264999999999986,0.0,41,0.0,0.0,0.0,6.0,0.0
111,PAD2_ESS_RN,-70.30499999999998,-70.30499999999998,0.0,39,150.0,0.0,0.0,9.0,0.0
112,ALAMO_ST_RN,-95.82400000000005,-102.47150000000005,6.647500000000003,111,0.0,4.127142857142857,3.8449999999999993,27.2,-68.0
113,RN_BY_ESR1,-162.03175000000022,-1223.56475,1061.5329999999997,146,9.9,35.1302380952381,4.641785714285715,1056.7,-3891.3
114,DESN_ESS_RN,-184.26,38.41249999999997,-222.6725,52,200.0,9.293478260869565,5.535,20.4,-61.0
115,CEDRVALE_RN,-222.58225000000022,394.74975,-617.3320000000002,197,8.2,43.128054101221636,12.611474694589877,260.9,-1364.2
116,TDWLPR_1_RN,-243.98466000000025,-693.2549099999998,449.27024999999946,126,100.0,48.708749999999995,10.714125,1984.5,-1218.4
117,SAH_RN,-350.596,-49.286000000000044,-301.31,49,200.0,12.305813953488371,8.27093023255814,35.3,-47.0
118,FERD_ESS_RN,-366.4725000000001,1044.69,-1411.1625,36,200.0,34.29333333333333,21.402333333333335,127.0,-377.0
119,GAIA_SLR_RN,-422.49300000000017,604.8695,-1027.3625000000002,128,0.0,15.529781420765026,3.4901502732240437,362.6,-556.0
120,LMO_ESR_RN,-459.6306599999994,-964.97841,505.3477500000003,206,100.0,47.97883333333334,10.806866666666668,508.2,-3010.3
121,PINEFRST_RN,-570.6794500000015,1067.7087999999987,-1638.38825,191,200.0,45.75382882882883,9.432887387387387,3275.2999999999997,-3389.9
122,LIGSW_RN,-599.0327500000001,37.31974999999995,-636.3524999999996,198,9.8,48.003125,10.490260416666668,696.2,-1731.8
123,HLY_RN,-619.2640499999999,-1042.988,423.7239500000002,198,102.2,46.1765625,19.527552083333333,999.4,-2079.4
124,LK_RN,-634.1157499999998,-1250.0695000000005,615.9537500000001,59,0.0,39.097169811320754,11.076462264150942,319.8,-636.5
125,HEN_RN,-657.8479999999998,-30.20549999999999,-627.6424999999999,110,20.0,9.323878205128205,3.9689423076923074,29.2,-146.0
126,RTLSNAKE_BT,-671.3073299999999,184.43174999999994,-855.7390800000001,189,9.9,41.6698087431694,11.77792349726776,340.6,-1085.8
127,DA_BESS2,-728.0455000000001,-487.6700000000001,-240.3755,93,5.0,19.652272727272727,7.840965909090909,265.4,-403.1
128,MYRY_ESR_RN,-782.4317499999999,57.670250000000046,-840.1019999999999,194,9.9,13.531382978723405,7.438829787234042,434.1,-275.5
129,SWT_BESS_RN,-891.7646199999999,2613.725140000001,-3505.489760000001,205,9.9,42.34815745393635,6.065787269681742,10943.8,-6968.9
130,ANOL_ESS_RN,-905.9084100000003,260.56559,-1166.474,189,240.0,47.36857923497268,11.091639344262294,1048.1000000000001,-7044.700000000001
131,DA_BESS,-914.5304100000001,929.62534,-1844.1557500000004,129,5.0,47.109959349593495,13.028983739837397,648.4000000000001,-1149.3999999999999
132,KEG_RN,-939.8525,-391.5275000000001,-548.3249999999999,108,0.0,19.03921568627451,1.3815686274509804,124.0,-252.0
133,HARLIN_1_RN,-1201.3237499999996,384.4957499999998,-1585.8195000000005,149,0.0,35.12377622377622,11.627062937062938,4433.1,-2884.5
134,BYRDR_ES_ALL,-1220.0779999999997,-1194.898,-25.180000000000007,151,50.0,25.06632183908046,16.746781609195402,356.5,-103.2
135,MYRY_BES2_RN,-1221.18164,-510.0768899999998,-711.1047500000001,143,9.9,48.75869829683698,8.392402676399024,935.8000000000001,-730.2
136,LOWR_ESS_RN,-1302.6383399999995,-2537.54159,1234.9032500000003,190,60.0,31.736775362318838,7.898297101449274,943.0999999999999,-4429.599999999999
137,TNFS_RN,-1340.9089999999999,-1090.724,-250.18499999999997,111,9.9,12.916666666666668,12.149880952380952,160.2,-29.0
138,ELM_ST_RN,-1350.3929999999996,-458.38824999999997,-892.0047499999991,145,0.0,31.74328537170264,25.844244604316543,224.0,-12490.9
139,BLUEJAY_RN,-1409.1445000000008,5433.836750000003,-6842.981250000001,206,50.0,48.775,9.2379,42763.600000000006,-10082.0
140,DKNS_ESS_RN,-1454.5305,1370.8725000000002,-2825.403,132,50.0,47.08293650793651,28.03873015873016,824.3,-1102.2
141,OR_BESS_RN,-1503.75209,-0.7458400000000154,-1503.0062500000006,180,9.9,40.82557471264368,7.734425287356322,422.40000000000003,-665.6
142,WLTC_ESR_RN,-1535.8888299999999,-718.2223299999999,-817.6665,134,9.9,45.716796875,32.2628125,537.3,-603.2
143,TURQ_BESS1,-1647.3354000000002,-1411.7893999999997,-235.54600000000002,152,188.0,48.335045662100455,25.124326484018265,648.2,-358.1
144,RBN_BESS1,-1672.7542500000009,731.4537499999998,-2404.208,197,100.0,43.78773996509599,10.666797556719022,903.9,-1658.7
145,LYNX_ESS_RN,-1677.5122499999998,-1944.56675,267.05450000000013,62,0.0,29.469642857142855,18.55377976190476,566.6,-259.0
146,CARA_ESS_RN,-1703.44,-90.2485,-1613.1915,113,98.3,25.58348909657321,24.644252336448595,90.9,-111.3
147,FAULKNER_RN,-1709.35237,-529.285,-1180.06737,163,9.9,46.347983014861995,43.71936305732484,79.8,-1120.7
148,NEDIN_RN,-1792.5885,-1405.34625,-387.2422500000001,139,0.0,17.716791979949875,4.957631578947368,537.0,-2005.1
149,CNTYRDS_RN,-1897.356,-1542.56675,-354.7892499999998,146,0.0,33.07797619047619,15.10945238095238,531.3,-14453.7
150,ELZA_SLR_RN,-1927.1172000000001,-2398.026250000001,470.9090500000002,201,100.0,47.57333333333334,8.357807692307691,1864.5,-1481.1
151,PAULN_RN,-2039.8847499999995,-1774.9360000000001,-264.94874999999956,204,9.9,47.872979797979795,17.596489898989898,1143.6,-1556.2
152,PEARSALL_RN,-2118.5459499999997,-1944.8836999999999,-173.66224999999983,168,9.0,40.08765432098765,33.330925925925925,1627.0,-705.7
153,GOMZ_RN,-2124.39761,-835.26136,-1289.1362500000005,196,9.9,40.85377192982456,8.508798245614035,357.4,-1368.6999999999998
154,RIOG_ESR2_RN,-2147.03968,1483.1408200000005,-3630.1805,193,7.0,34.9554367201426,13.508582887700534,1003.5,-4251.8
155,MIDP_SLR_RN,-2185.866290000001,-1474.47854,-711.3877499999996,203,50.9,45.09822335025381,8.707453468697125,5053.0,-1465.1
156,WR_RN,-2333.24334,-921.32334,-1411.92,121,9.8,46.72949275362319,12.119652173913044,479.4,-230.7
157,SBEAN_BESS,-2382.6475800000003,-673.27808,-1709.3695000000002,182,6.6,21.496685606060602,10.18162878787879,140.6,-821.3000000000001
158,LANTANA_RN,-2469.2898299999997,-494.55583000000007,-1974.7340000000002,168,9.9,39.87561728395062,11.778148148148148,312.0,-1665.4
159,ABINDUST_RN,-2617.1785000000004,755.6647499999999,-3372.84325,164,9.9,39.868565400843885,15.790791139240504,722.2,-3441.5
160,CHISMGRD_RN,-2669.1115000000004,-67.21275,-2601.8987500000003,35,0.0,64.14285714285714,30.290571428571425,48.3,-905.2
161,BAYC_BESS_RN,-2717.7825900000003,-904.9103400000004,-1812.8722500000003,197,8.0,39.50820244328098,6.414925828970332,6464.099999999999,-557.7
162,CARN_ESS_RN,-2833.74091,2793.7538400000003,-5627.49475,203,150.0,42.52876480541455,8.050317258883247,3480.6000000000004,-6464.8
163,CITRUSCY_RN,-2916.19818,-1445.9524300000003,-1470.2457499999998,193,9.9,38.106818181818184,4.535717468805704,942.5,-619.1
164,PLATINUM_RN,-3017.270250000001,418.6559999999999,-3435.9262500000004,155,151.7,45.40816554809843,11.766493288590604,654.6,-1187.5
165,MESQUITE_RN,-3073.93825,-2549.2129999999997,-524.7252499999996,161,0.0,26.101720430107527,7.3028655913978495,3244.8,-6768.6
166,PIN_BESS_RN,-3085.1850500000005,-820.5985,-2264.58655,145,0.0,33.42625899280576,12.936336930455635,1986.8,-11336.8
167,HEARN_RD_RN,-3101.856909999999,-686.0891600000014,-2415.76775,200,0.0,42.01537800687285,44.996030927835044,19957.399999999998,-1780.7
168,VERT_ESS_RN,-3173.684,-4058.145,884.4610000000001,54,200.0,39.846875,36.69499999999999,79.9,-91.3
169,BRPANGLE_RN,-3243.53141,-255.66815999999992,-2987.8632500000003,186,9.9,41.76777777777778,9.081555555555557,2815.7,-1609.1
170,ENDPARK_ESS1,-3522.1957499999994,-1269.3522499999997,-2252.8435,205,50.0,39.01147403685092,8.07863065326633,3206.9,-2349.1000000000004
171,ALP_BESS_RN,-3555.0056600000007,1562.28734,-5117.293,205,100.3,43.84497487437186,6.900159128978223,1713.4,-8508.0
172,SADLBACK_RN,-3843.31425,-1040.2289999999998,-2803.08525,199,9.9,40.33506044905009,10.846783246977548,1187.0,-1482.1999999999998
173,PAVLOV_BT_RN,-3894.1217400000005,-1413.03759,-2481.08415,205,9.9,46.57684254606365,10.526381909547737,2346.7,-5349.2
174,SANDLAKE_RN,-3932.3032000000003,-333.4135,-3598.8896999999997,138,9.9,52.25127819548872,12.515187969924813,680.9,-2204.3
175,MADERO_RN,-3948.2139999999995,-3953.86425,5.650249999999904,202,100.0,18.57755102040816,7.55704081632653,3820.6,-2866.3
176,DGFS_ESR_RN,-3984.9495899999997,-2224.38784,-1760.5617499999998,191,75.0,41.96918918918919,9.05831981981982,410.20000000000005,-744.5
177,HWY6_RN,-4409.258749999999,-4617.8775,208.61875000000015,145,0.0,37.961870503597126,31.01929856115108,3308.4,-658.5
178,ADL_RN,-4415.21446,-465.77270999999996,-3949.441750000001,205,0.0,46.95418760469012,6.17574539363484,1970.1000000000001,-5122.099999999999
179,ESTONIAN_ALL,-4436.956749999999,320.0992499999999,-4757.0560000000005,203,101.6,47.34318950930626,6.876192893401015,3741.7,-2284.0
180,MESQUITE_RN2,-4646.6605,-3408.56375,-1238.09675,142,0.0,42.054289215686275,24.950257352941176,1999.2,-1177.5
181,FLTBES1,-4938.7654999999995,126.2204999999998,-5064.986,198,8.5,35.41067708333333,27.55505208333333,1278.2,-1637.8
182,WRSBES_BESS1,-5007.8205,1003.4107499999997,-6011.23125,199,9.7,27.3905872193437,20.568510362694298,2235.6,-1880.2
183,LFSTH_RN,-5088.018840000001,-4261.28409,-826.73475,133,9.9,56.710104986876644,17.82035433070866,448.3,-1198.1
184,WAL_RN,-5174.32384,-4509.31434,-665.0095000000003,202,145.0,45.522619047619045,10.609328231292515,3123.6000000000004,-4303.0
185,N_MRD_ESR_RN,-5394.54679,-4569.90684,-824.6399500000001,206,9.9,41.351749999999996,9.325800000000001,3563.9,-3168.1
186,WZRD_ESS_RN,-5527.30135,-3963.204250000001,-1564.0970999999997,136,71.0,31.901410256410255,14.167358974358974,312.7,-463.6
187,TOYAH_RN,-5636.75425,-1354.8915,-4281.862749999999,198,6.6,51.58932291666667,32.215182291666665,203.0,-7220.5
188,L_FRE_ESR_RN,-5697.734919999999,-3497.23567,-2200.4992500000003,205,9.9,38.642127303182576,5.877403685092128,1310.0,-1194.7
189,SWOOSEII_RN,-5969.915999999999,-2077.05525,-3892.8607500000003,199,38.9,42.986442141623485,14.07791450777202,148.0,-8474.0
190,STAM_SLR_ALL,-6226.01475,90.23474999999951,-6316.2495,201,70.0,48.414487179487175,8.397461538461537,2421.7,-1911.6000000000001
